date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:04	104060/104060	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-1967c%22	https://prium.github.io/freya/v2.1.0/assets/img/about_careers.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/about_careers.jpg	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
15:14:04	54146/54146	---M-Z	200	added ('OK')	application/javascript	etag:W/%22666533af-d382%22	https://prium.github.io/freya/v2.1.0/vendors/prism/prism.js	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/prism/prism.js	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
15:14:05	174457/174457	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-2a979%22	https://prium.github.io/freya/v2.1.0/assets/img/recognition_header.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/recognition_header.jpg	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:05	8501/8501	---M--	200	added ('OK')	image/png	etag:%22666533af-2135%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/ad.png	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/ad.png	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:06	17003/17003	---M--	200	added ('OK')	image/gif	etag:%22666533af-426b%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/american_express.gif	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/american_express.gif	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:06	2251/2251	---M--	200	added ('OK')	image/png	etag:%22666533af-8cb%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/departures.png	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/departures.png	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:07	15136/15136	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-3b20%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/goldlist.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/goldlist.jpg	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:07	4856/4856	---M--	200	added ('OK')	image/png	etag:%22666533af-12f8%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/interiordesign.png	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/interiordesign.png	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:07	41127/41127	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-a0a7%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/luxe.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/luxe.jpg	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:08	25732/25732	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-6484%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/robb_report.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/robb_report.jpg	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
